gene_id	response_group	interaction_vs_self_padj	interaction_vs_self_lfc	interaction_vs_onu_padj	interaction_vs_onu_lfc	onu_vs_self_padj	onu_vs_self_lfc	sig_reaction_vs_noncontact	sig_reaction_vs_control	sig_control_vs_noncontact	n_significant	mean_noncontact	mean_control	mean_reaction	expression_range	maximum_abs_lfc	minimum_relevant_padj	significance_score	selection_score
gene_5988	NA	0.88681367963112	-0.050202921496598	0.596862391621461	0.16378029394602395	0.493360195949586	-0.20649861457836696	FALSE	FALSE	FALSE	0	7.777785277210553	7.7000780413588235	7.764693276455258	0.07770723585172945	0.20649861457836696	0.493360195949586	0.3068358920914666	0.79754035709993
gene_5989	Multi-region differential response	2.51351551818025e-152	-1.6624530460909992	0	2.7955951682658218	0	-4.462592960185542	TRUE	TRUE	TRUE	3	13.090680108105609	9.262585553757182	11.511967704730207	3.828094554348427	4.462592960185542	0	300	312.7532804747195
gene_5990	NA	0.340932685367338	-0.34040835880834563	0.157996057570816	0.4760916285150242	0.010268700886781	-1.0125633907585516	FALSE	FALSE	TRUE	1	7.664486052642147	7.433594735478292	7.550371030269924	0.23089131716385491	1.0125633907585516	0.010268700886781	1.988484496362775	4.244502595043733
gene_5991	NA	0.958539133881309	-0.00779959617539553	0.0800203355780315	0.20211683779369827	0.0707015013473139	-0.20958777791443148	FALSE	FALSE	FALSE	0	9.290489449506012	9.145424844817624	9.281908925587954	0.1450646046883879	0.20958777791443148	0.0707015013473139	1.1505713638561288	1.7148115243733797
gene_5992	Non-contact specific	4.34541731963483e-6	0.5890628791488802	0.126893684921134	0.19960556057254145	0.00324753723248593	0.3773275926191467	TRUE	FALSE	TRUE	2	9.618084875154361	9.906601690575162	10.07337509656742	0.4552902214130583	0.5890628791488802	4.34541731963483e-6	5.361968508994028	6.995384488704847
gene_5993	Reaction-zone specific	3.4787597752752e-4	-0.3835510588686471	3.60516989673143e-6	-0.4748349397973964	0.43008019245169	0.09091123036815212	TRUE	TRUE	FALSE	2	9.860535010965684	9.928807684211533	9.568548352039445	0.36025933217208816	0.4748349397973964	3.60516989673143e-6	5.443074263961382	6.753003475728263
gene_5994	NA	0.0581477285060942	0.17817903012193922	0.377949086438687	0.08753140265240893	0.36739906840795	0.09065170747919452	FALSE	FALSE	FALSE	0	10.673542397182066	10.752290998925721	10.828196560981413	0.15465416379934638	0.17817903012193922	0.0581477285060942	1.235467245966265	1.7464794700094899
gene_5995	Non-contact specific	0.00257280501852202	0.277216624997472	0.581624941890614	-0.05551697517985853	1.8140471233004e-4	0.33115345268759155	TRUE	FALSE	TRUE	2	10.221596760486555	10.503568959891327	10.455674664873635	0.2819721994047715	0.33115345268759155	1.8140471233004e-4	3.7413514355099275	4.685630540289882
gene_5996	Multi-region differential response	0.00288167684438743	-0.24332215308983549	0.0170700673784961	0.1929810412829492	1.4059561121218e-8	-0.4349342380058761	TRUE	TRUE	TRUE	3	10.962972988763086	10.580846204206809	10.74835443233729	0.38212678455627724	0.4349342380058761	1.4059561121218e-8	7.852028235902831	9.10402349647086
gene_5997	Multi-region differential response	8.35615926407148e-16	0.6236496330986753	1.14883059637973e-36	0.9625931546212132	2.53974234078949e-5	-0.3350018869033888	TRUE	TRUE	TRUE	3	12.057179450957841	11.740037870548514	12.658284269826426	0.918246399277912	0.9625931546212132	1.14883059637973e-36	35.939744006543684	38.78317671506402
