ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	significant_padj_0.05	pathway_class	pathway_type
Pyrimidine metabolism	Pyrimidine metabolism	11/267	55/1145	0.2	0.857677902621723	-0.596295890038055	0.77283954310101	0.999080029200713	0.999080029200713	gene_416/gene_680/gene_1137/gene_2046/gene_2869/gene_4519/gene_5044/gene_5137/gene_5578/gene_6064/gene_6780	11	onu_vs_self	significant	down	FALSE	Nucleotide Metabolism	METABOLIC
gamma-Hexachlorocyclohexane degradation	gamma-Hexachlorocyclohexane degradation	8/267	41/1145	0.195121951219512	0.836758929387047	-0.586756907608985	0.776909116854008	0.999080029200713	0.999080029200713	gene_33/gene_375/gene_2287/gene_3682/gene_4253/gene_5385/gene_5766/gene_7852	8	onu_vs_self	significant	down	FALSE	Biodegradation of Xenobiotics	METABOLIC
Globoside metabolism	Globoside metabolism	4/267	22/1145	0.181818181818182	0.779707184201566	-0.575099753412749	0.792391406928153	0.999080029200713	0.999080029200713	gene_1752/gene_2694/gene_3431/gene_4069	4	onu_vs_self	significant	down	FALSE	Metabolism of Complex Lipids	METABOLIC
Ethylbenzene degradation	Ethylbenzene degradation	3/267	17/1145	0.176470588235294	0.756774619960344	-0.556929453615218	0.796634397415292	0.999080029200713	0.999080029200713	gene_1107/gene_1901/gene_4025	3	onu_vs_self	significant	down	FALSE	Biodegradation of Xenobiotics	METABOLIC
Pantothenate and CoA biosynthesis	Pantothenate and CoA biosynthesis	7/267	37/1145	0.189189189189189	0.811316934912441	-0.643110039553184	0.796964100155933	0.999080029200713	0.999080029200713	gene_3259/gene_4034/gene_4720/gene_5230/gene_6650/gene_7839/gene_8192	7	onu_vs_self	significant	down	FALSE	Metabolism of Cofactors and Vitamins	METABOLIC
D-Arginine and D-ornithine metabolism	D-Arginine and D-ornithine metabolism	1/267	6/1145	0.166666666666667	0.714731585518102	-0.38617916256051	0.797512786652673	0.999080029200713	0.999080029200713	gene_1107	1	onu_vs_self	significant	down	FALSE	Metabolism of Other Amino Acids	METABOLIC
Fructose and mannose metabolism	Fructose and mannose metabolism	13/267	66/1145	0.196969696969697	0.84468278288503	-0.716476962792072	0.805314395984596	0.999080029200713	0.999080029200713	gene_662/gene_972/gene_1752/gene_1856/gene_2694/gene_3431/gene_3938/gene_4052/gene_4069/gene_4108/gene_5485/gene_7634/gene_7922	13	onu_vs_self	significant	down	FALSE	Carbohydrate Metabolism	METABOLIC
Alkaloid biosynthesis I	Alkaloid biosynthesis I	2/267	12/1145	0.166666666666667	0.714731585518102	-0.547583989267705	0.809331740621669	0.999080029200713	0.999080029200713	gene_4253/gene_5766	2	onu_vs_self	significant	down	FALSE	Biosynthesis of Secondary Metabolites	METABOLIC
Benzoate degradation via hydroxylation	Benzoate degradation via hydroxylation	2/267	12/1145	0.166666666666667	0.714731585518102	-0.547583989267705	0.809331740621669	0.999080029200713	0.999080029200713	gene_3938/gene_7933	2	onu_vs_self	significant	down	FALSE	Biodegradation of Xenobiotics	METABOLIC
Glycolysis / Gluconeogenesis	Glycolysis / Gluconeogenesis	11/267	57/1145	0.192982456140351	0.827583941126224	-0.736075018889136	0.813827249036057	0.999080029200713	0.999080029200713	gene_1225/gene_1864/gene_2951/gene_4052/gene_4258/gene_4567/gene_5622/gene_7217/gene_7612/gene_7922/gene_7970	11	onu_vs_self	significant	down	FALSE	Carbohydrate Metabolism	METABOLIC
