family	class	substrates	fusarium_significant_genes	fusarium_up	fusarium_down	fusarium_secreted	fusarium_secreted_up	fusarium_secreted_down	fusarium_mean_shrunk_lfc	fusarium_median_shrunk_lfc	fusarium_max_abs_shrunk_lfc	ophiostoma_significant_genes	ophiostoma_up	ophiostoma_down	ophiostoma_secreted	ophiostoma_secreted_up	ophiostoma_secreted_down	ophiostoma_mean_shrunk_lfc	ophiostoma_median_shrunk_lfc	ophiostoma_max_abs_shrunk_lfc	total_significant	total_secreted	total_secreted_up	total_secreted_down
GH10	GH	Unassigned	1	0	1	0	0	0	-0.67974621917939	-0.67974621917939	0.67974621917939	0	0	0	0	0	0				1	0	0	0
GH11	GH	Xylan	0	0	0	0	0	0				1	0	1	0	0	0	-1.3715595889501577	-1.3715595889501577	1.3715595889501577	1	0	0	0
GH13	GH	Unassigned	0	0	0	0	0	0				1	1	0	0	0	0	0.5443862095314745	0.5443862095314745	0.5443862095314745	1	0	0	0
GH31_2	GH	Unassigned	0	0	0	0	0	0				1	0	1	0	0	0	-1.306997521429183	-1.306997521429183	1.306997521429183	1	0	0	0
GH31_4	GH	Unassigned	1	1	0	0	0	0	0.231684499734922	0.231684499734922	0.231684499734922	0	0	0	0	0	0				1	0	0	0
GH43_1	GH	Xylan	0	0	0	0	0	0				1	0	1	0	0	0	-1.2777177494544554	-1.2777177494544554	1.2777177494544554	1	0	0	0
GH43_11	GH	Xylan | Arabinan	0	0	0	0	0	0				1	0	1	0	0	0	-1.6108601032413308	-1.6108601032413308	1.6108601032413308	1	0	0	0
GH43_14	GH	Unassigned	1	1	0	0	0	0	0.210429493890446	0.210429493890446	0.210429493890446	0	0	0	0	0	0				1	0	0	0
GH64	GH	Beta-glucan	0	0	0	0	0	0				1	1	0	0	0	0	0.23783623640406304	0.23783623640406304	0.23783623640406304	1	0	0	0
GH71	GH	Unassigned	1	0	1	0	0	0	-0.392514727041693	-0.392514727041693	0.392514727041693	0	0	0	0	0	0				1	0	0	0
GH88	GH	Host glycan	0	0	0	0	0	0				1	0	1	0	0	0	-3.7670397538388998	-3.7670397538388998	3.7670397538388998	1	0	0	0
GH94	GH	Cellulose	0	0	0	0	0	0				1	0	1	0	0	0	-2.014823829706444	-2.014823829706444	2.014823829706444	1	0	0	0
GH95	GH	Unassigned	1	1	0	0	0	0	0.383659116128288	0.383659116128288	0.383659116128288	0	0	0	0	0	0				1	0	0	0
GH105	GH	Unassigned	0	0	0	0	0	0				1	0	1	0	0	0	-0.8909287958506126	-0.8909287958506126	0.8909287958506126	1	0	0	0
GH142	GH	Unassigned	1	0	1	0	0	0	-0.400046946094932	-0.400046946094932	0.400046946094932	0	0	0	0	0	0				1	0	0	0
GH162	GH	Unassigned	1	1	0	0	0	0	0.831786546458928	0.831786546458928	0.831786546458928	0	0	0	0	0	0				1	0	0	0
GT21	GT	Unassigned	0	0	0	0	0	0				1	1	0	0	0	0	1.0306142647783607	1.0306142647783607	1.0306142647783607	1	0	0	0
GT33	GT	Unassigned	0	0	0	0	0	0				1	1	0	0	0	0	0.7719226108711822	0.7719226108711822	0.7719226108711822	1	0	0	0
GT35	GT	Unassigned	0	0	0	0	0	0				1	1	0	0	0	0	0.3320428865877881	0.3320428865877881	0.3320428865877881	1	0	0	0
GT50	GT	Unassigned	1	1	0	0	0	0	0.105981952996574	0.105981952996574	0.105981952996574	0	0	0	0	0	0				1	0	0	0
GT59	GT	Unassigned	1	1	0	0	0	0	0.158979426673076	0.158979426673076	0.158979426673076	0	0	0	0	0	0				1	0	0	0
GT66	GT	Unassigned	0	0	0	0	0	0				1	1	0	0	0	0	0.335535154433377	0.335535154433377	0.335535154433377	1	0	0	0
GT92	GT	Unassigned	0	0	0	0	0	0				1	0	1	0	0	0	-0.4744263814148232	-0.4744263814148232	0.4744263814148232	1	0	0	0
